Lon,Lat,OBJECTID,Longitude,Latitude,FID,OBJECTID_1,OBJECTID_12,ID,City_Department,Capital_Project_Number,Capital_Asset_Name,Capital_Project_Title,ID1,Project_Description,Neighborhood,Project_Status,Operating_Impact,FY17_Projected_Expenditure,Total_Project_Budget,Project_Schedule,City_Council_District,Investment_Categorization
-71.12809978,42.2862257,92,-71.12809917,42.28621705,91,195,160,216,Library Department,CLD24197,Roslindale Branch,Roslindale Branch Library Renovation,216,"A comprehensive building renovation will enrich library services and visitor experience through improved spatial definition, a fully accessible facility, improve signage and increase energy efficiency.",Roslindale,To Be Scheduled,0,250000,6700000,Initiating in FY17,District 5,Arts and Culture
-71.08353795,42.32804266,93,-71.08353736,42.32803399,92,201,166,222,Library Department,CLD23928,Dudley Branch,Dudley Branch Library Renovation,222,"A comprehensive building renovation will enrich library services and visitor experience through improved spatial definition, a fully accessible facility, improved signage and greater energy efficiency.",Roxbury,In Design,0,600000,14718000,Initiating in FY17,District 7,Arts and Culture
-71.02830661,42.38151366,94,-71.02830603,42.38150498,93,210,177,255,Police Department,CPD24086,East Eagle Street site,East Boston Police Station,255,Design and construct a new police station.,East Boston,In Design,-1,1000000,25540000,Initiating in FY17,District 1,Public Safety
-71.07161128,42.38868625,95,-71.07161069,42.38867757,94,211,178,256,Public Works Department,CPW21955,Alford Street Bridge,Alford Street Bridge,256,Replace the bridge.  State and federal construction funding awarded.,Charlestown,In Construction,-1,0,63669642,Baseline Project,District 1,Streets
-71.07236046,42.33396372,96,-71.07235987,42.33395505,95,213,181,293,Public Health Commission,CPH23580,Finland Building,Finland Building,293,Connect building heating system to private steam service and install a rooftop heat reducer unit.  Install a new chiller to provide chilled water for building cooling system.,South End,In Construction,-1,20000,2337000,Baseline Project,District 3,Health & Human Services
-71.06764854,42.31475394,97,-71.06764795,42.31474527,96,221,189,315,Property and Construction Management,CPM24119,Uphams Corner Municipal Building,Uphams Corner Municipal Building Windows,315,Replace windows.,Dorchester,To Be Scheduled,0,0,555000,Starting after FY17,District 3,Operations
-71.05888845,42.35886984,98,-71.05888786,42.35886116,97,237,216,396,Property and Construction Management,CPM23470,Administration Building,26 Court Street Renovation,396,"Renovate building to improve envelope (roof, new windows, masonry repair) and upgrade interior.",Financial District/Downtown,In Design,-1,700000,14000000,Near Baseline,District 2,Operations
-71.06881753,42.34849459,99,-71.06881694,42.34848592,98,238,217,397,School Department,CPS24301,Quincy Upper Pilot School,Quincy Upper Pilot School,397,Conduct a feasibility study and develop schematic design plans in conjunction with the Massachusetts School Building Authority that results in the construction or renovation of a facility that supports the requirements of the Josiah Quincy Upper School.,Bay Village,Study Underway,0,1000000,1700000,Near Baseline,District 2,Education
-71.08494278,42.31648041,100,-71.08494218,42.31647175,99,240,219,400,School Department,CPS23855,Boston Latin Academy,Security Related Improvements at Various Schools,400,"Install intercom and clock systems, re-key doors, expand card access, replace smoke doors, install motion detectors and other security related improvements.",Roxbury,Annual Program,-1,45455,6500000,Initiating in FY17,District 7,Education
-71.08161432,42.3068617,101,-71.08161373,42.30685304,100,242,221,402,Library Department,CLD23150,Grove Hall Branch,Security Audit Recommendations Implementation,402,Implement security upgrades at Central and all branch library locations.,Roxbury,Implementation Underway,-1,33334,500000,Baseline Project,District 4,Arts and Culture
-71.07593579,42.28532874,102,-71.0759352,42.28532008,101,245,224,405,School Department,CPS24332,TechBoston Academy,Window Replacements at 7 Schools,405,"Complete a feasibility study and develop schematic designs for window replacement projects at Community Academy, Curley School, Ellis School, McKay K-8 School, Sumner School, TechBoston Academy, and Young Achievers K-8 School in partnership with the MSBA",Dorchester,In Design,-1,467308,25743163,Near Baseline,District 4,Education
-71.03493616,42.38099132,103,-71.03493558,42.38098264,102,246,225,406,School Department,CPS24300,East Boston High School,East Boston High School Windows,406,Replace windows at East Boston High School.,East Boston,In Design,-1,2850000,4700000,Baseline Project,District 1,Education
-71.10941102,42.30624431,104,-71.10941042,42.30623565,103,249,228,410,School Department,CPS23991,English High School,English High School Building Envelope,410,"Roof and window replacement, selective masonry repointing and curtain wall window replacement to attain greater energy efficiency.",Jamaica Plain,To Be Scheduled,0,0,2000000,Starting after FY17,District 6,Education
-71.08390136,42.34060885,105,-71.08390076,42.34060018,104,253,232,416,School Department,CPS24154,Carter Center,Carter Development Center,416,"Design and construct a building addition that will include appropriate and dedicated spaces for beneficial and critical instructional activities including aquatic, physical, creative arts and multi-sensory therapies.",South End,To Be Scheduled,0,0,1600000,Starting after FY17,District 7,Education
-71.06224261,42.30071425,106,-71.06224202,42.30070559,105,256,235,422,School Department,CPS24332,Community Academy of Science & Health,Window Replacements at 7 Schools,422,"Complete a feasibility study and develop schematic designs for window replacement projects at Community Academy, Curley School, Ellis School, McKay K-8 School, Sumner School, TechBoston Academy, and Young Achievers K-8 School in partnership with the MSBA",Dorchester,In Design,-1,467308,25743163,Near Baseline,District 3,Education
-71.11331288,42.31858637,107,-71.11331228,42.3185777,106,257,236,423,School Department,CPS24332,Curley School,Window Replacements at 7 Schools,423,"Complete a feasibility study and develop schematic designs for window replacement projects at Community Academy, Curley School, Ellis School, McKay K-8 School, Sumner School, TechBoston Academy, and Young Achievers K-8 School in partnership with the MSBA",Jamaica Plain,In Design,-1,467308,25743163,Near Baseline,District 6,Education
-71.08066093,42.32645966,108,-71.08066033,42.32645099,107,258,237,424,School Department,CPS22878,New Dearborn 6-12 STEM School,Dearborn 6-12 STEM / Early College Academy,424,"Design and construct a new STEM (Science, Technology, Engineering and Mathematics) school for grades 6 through 12 on the site of the current Dearborn School.  The MSBA will partner with the City in the development and funding of this new school.",Roxbury,In Construction,-1,32800000,73498295,Baseline Project,District 7,Education
-71.12498772,42.28358098,109,-71.12498711,42.28357232,108,263,242,429,School Department,CPS24551,Irving School,Exterior Site Improvements at Irving School,429,General site improvements including permeable paving that will reduce the volume of storm water run-off entering the Boston Water and Sewer Commission's (BWSC) storm water system. The BWSC is funding a portion of this project.,Roslindale,New Project,0,300000,875000,Initiating in FY17,District 5,Education
-71.09467219,42.28205432,110,-71.09467159,42.28204566,109,264,243,431,School Department,CPS24332,Young Achievers Science & Math K-8,Window Replacements at 7 Schools,431,"Complete a feasibility study and develop schematic designs for window replacement projects at Community Academy, Curley School, Ellis School, McKay K-8 School, Sumner School, TechBoston Academy, and Young Achievers K-8 School in partnership with the MSBA",Mattapan,In Design,-1,467308,25743163,Near Baseline,District 5,Education
-71.16257676,42.27190458,111,-71.16257614,42.27189593,110,267,246,489,School Department,CPS23855,Kilmer School,Security Related Improvements at Various Schools,489,"Install intercom and clock systems, re-key doors, expand card access, replace smoke doors, install motion detectors and other security related improvements.",West Roxbury,Annual Program,-1,45455,6500000,Initiating in FY17,District 6,Education
-71.15238943,42.29264307,112,-71.15238882,42.29263441,111,269,248,492,School Department,CPS23855,Kilmer  School (4-8),Security Related Improvements at Various Schools,492,"Install intercom and clock systems, re-key doors, expand card access, replace smoke doors, install motion detectors and other security related improvements.",West Roxbury,Annual Program,-1,45455,6500000,Initiating in FY17,District 6,Education
-71.10321302,42.27607588,113,-71.10321242,42.27606722,112,274,253,497,Boston Center for Youth and Families,CCC24552,Mattahunt Community Center,BCYF Mattahunt Exterior Lighting,497,Improve exterior lighting at the Mattahunt Community Center.,Mattapan,New Project,0,75000,500000,Initiating in FY17,District 5,Health & Human Services
-71.03431619,42.36929277,114,-71.03431561,42.3692841,113,275,254,498,School Department,CPS24332,McKay K-8 School,Window Replacements at 7 Schools,498,"Complete a feasibility study and develop schematic designs for window replacement projects at Community Academy, Curley School, Ellis School, McKay K-8 School, Sumner School, TechBoston Academy, and Young Achievers K-8 School in partnership with the MSBA",East Boston,In Design,-1,467308,25743163,Near Baseline,District 1,Education
-71.01006815,42.38756011,115,-71.01006758,42.38755143,114,281,265,1340,Parks and Recreation Department,CPR24232,Noyes Playground,Noyes Park,1340,"Rehabilitate the park, including updating the play lot, courts, fields and lighting.",East Boston,To Be Scheduled,0,180000,3110000,Initiating in FY17,District 1,"Environment, Energy & Open Space"
-71.1371383,42.35506103,116,-71.13713768,42.35505236,115,289,280,1357,Parks and Recreation Department,CPR24161,Penniman - Hano Street Park,Penniman Road Play Area,1357,"Improvements to multi-functional park, including drainage, play lot, courts, passive areas, and infrastructure.",Allston/Brighton,To Be Scheduled,0,0,1737000,Starting after FY17,District 9,"Environment, Energy & Open Space"
-71.13497269,42.23966099,117,-71.13497208,42.23965234,116,290,281,1358,Parks and Recreation Department,CPR22955,Iacono Park,Court Renovations,1358,"Annual program to rehabilitate tennis, basketball, and street hockey courts citywide.",Hyde Park,Annual Program,-1,162500,6300000,Near Baseline,District 5,"Environment, Energy & Open Space"
-71.11298438,42.26403129,118,-71.11298378,42.26402264,117,291,283,1360,Parks and Recreation Department,CPR23797,Ross Playground,Ross Playground,1360,Overall park and play lot refurbishment and installation of safety surfacing.,Hyde Park,In Design,0,1200000,1220000,Near Baseline,District 5,"Environment, Energy & Open Space"
-71.12269202,42.3016662,119,-71.12269141,42.30165754,118,293,288,1365,Parks and Recreation Department,CPR24227,Arnold Arboretum,Bussey Brook Wall,1365,Rebuild portions of stone walls adjacent to roadways and near Bussey Brook.,Jamaica Plain,To Be Scheduled,0,10000,125000,Near Baseline,District 6,"Environment, Energy & Open Space"
-71.12103708,42.31806181,120,-71.12103648,42.31805314,119,300,296,1373,Parks and Recreation Department,CPR24004,Jamaica Pond,Jamaica Pond Outfall Pipe Replacement,1373,Replace outfall pipe and make related site improvements at Jamaica Pond.,Jamaica Plain,In Design,-1,125000,300000,Near Baseline,District 6,"Environment, Energy & Open Space"
-71.11398459,42.32538694,121,-71.11398398,42.32537828,120,304,300,1377,Parks and Recreation Department,CPR24242,Olmsted Park,Olmsted Park Landscape Restoration,1377,"Landscape rehabilitation including woodlands restoration, stair stabilization, and landscape improvements.",Jamaica Plain,In Design,0,604000,679000,Initiating in FY17,District 6,"Environment, Energy & Open Space"
-71.11307088,42.29593167,122,-71.11307027,42.29592301,121,305,301,1378,Parks and Recreation Department,CPR24067,Parkman Playground,Field Renovations at Parkman Playground,1378,Renovate the existing field and perform associated site improvements.,Roslindale,In Design,-1,375000,800000,Baseline Project,District 6,"Environment, Energy & Open Space"
-71.08681377,42.29285612,123,-71.08681318,42.29284746,122,312,309,1386,Parks and Recreation Department,CPR23774,Harambee Park,Harambee Park Master Plan,1386,Develop a master plan for the optimal use of space within the entire park.,Mattapan,In Design,0,40025,125000,Near Baseline,District 4,"Environment, Energy & Open Space"
-71.08957478,42.27771089,124,-71.08957418,42.27770223,123,314,311,1388,Parks and Recreation Department,CPR22955,Walker Playground,Court Renovations,1388,"Annual program to rehabilitate tennis, basketball, and street hockey courts citywide.",Mattapan,Annual Program,-1,162500,6300000,Near Baseline,District 5,"Environment, Energy & Open Space"
-71.05153219,42.36091702,125,-71.0515316,42.36090835,124,320,320,1397,Parks and Recreation Department,CPR24241,Christopher Columbus Park,Christopher Columbus Park,1397,Address drainage and pavement issues adjacent to water play feature.,North End,To Be Scheduled,0,235000,260000,Initiating in FY17,District 1,"Environment, Energy & Open Space"
-71.05637024,42.36359359,126,-71.05636965,42.36358491,125,321,322,1400,Parks and Recreation Department,CPR22955,Cutillo Park,Court Renovations,1400,"Annual program to rehabilitate tennis, basketball, and street hockey courts citywide.",North End,Annual Program,-1,162500,6300000,Near Baseline,District 1,"Environment, Energy & Open Space"
-71.06388876,42.34760124,127,-71.06388816,42.34759257,126,324,376,531,School Department,CPS23855,Quincy Upper Pilot School (Modulars),Security Related Improvements at Various Schools,531,"Install intercom and clock systems, re-key doors, expand card access, replace smoke doors, install motion detectors and other security related improvements.",Chinatown,Annual Program,-1,45455,6500000,Initiating in FY17,District 2,Education
-71.07874493,42.31520145,128,-71.07874433,42.31519279,127,327,381,891,School Department,CPS23855,Rev. Haynes Early Education Center,Security Related Improvements at Various Schools,891,"Install intercom and clock systems, re-key doors, expand card access, replace smoke doors, install motion detectors and other security related improvements.",Roxbury,Annual Program,-1,45455,6500000,Initiating in FY17,District 7,Education
-71.08858191,42.34910159,129,-71.08858131,42.34909292,128,332,391,1005,Public Works Department,CPW20554,Massachusetts Ave Underpass,Massachusetts Avenue Bridge at Commonwealth Avenue,1005,Design bridge repairs. State and federal construction funding anticipated.,Back Bay,In Design,0,0,17952769,Near Baseline,District 8,Streets
-71.07249421,42.33384387,130,-71.07249362,42.33383521,129,348,430,1049,Public Health Commission,CPH23655,Woods Mullen Shelter,Woods Mullen Shelter,1049,Design and install an independent heating and cooling system.,South End,In Construction,-1,400000,2450000,Baseline Project,District 3,Health & Human Services
-71.07542195,42.33442875,131,-71.07542136,42.33442008,130,352,435,1055,Public Health Commission,CPH23989,South End Fitness Center,South End Fitness Center Pool,1055,"Install a rain screen wall and added ventilation. Replace doors and exterior windows, concrete work to pool to repair leaks.",South End,In Design,0,100000,1129000,Initiating in FY17,District 7,Health & Human Services
-71.07775505,42.34948048,132,-71.07775445,42.34947181,131,353,437,1060,Library Department,CLD22534,Central Library: McKim Building,Central Library: McKim Library Phase II C Signage,1060,Update directional and room signage in conjunction with the ongoing restoration project.,Back Bay,In Construction,-1,125363,500000,Baseline Project,District 2,Arts and Culture
-71.13978029,42.24602852,133,-71.13977968,42.24601987,132,355,442,1065,Parks and Recreation Department,CPR20290,Fairview Cemetery,Fairview Cemetery Garage Building,1065,Construct new garage. Provide access for persons with disabilities.,Hyde Park,In Construction,-1,821710,1503000,Baseline Project,District 5,"Environment, Energy & Open Space"
-71.13215063,42.26816076,134,-71.13215002,42.26815211,133,357,445,1068,Parks and Recreation Department,CPR24528,George Wright Golf Course Clubhouse,George Wright Clubhouse Phase 2,1068,"Building renovations include installation of a new boiler, electrical system and fire protection. Update bathroom for accessibility.
",Hyde Park,New Project,0,100000,1400000,Initiating in FY17,District 5,"Environment, Energy & Open Space"
-71.06083004,42.29799368,135,-71.06082945,42.29798502,134,362,453,1076,Parks and Recreation Department,CPR24462,Doherty-Gibson (Town Field) Playground,Doherty-Gibson Playground,1076,Refurbish playlot and adjacent passive areas.,Dorchester,New Project,0,0,1650000,Starting after FY17,District 4,"Environment, Energy & Open Space"
-71.0691277,42.35493265,136,-71.06912711,42.35492398,135,364,456,1079,Parks and Recreation Department,CPR24136,Public Garden Tool House,Public Garden Tool Shed,1079,Design and comprehensive repairs for the interior and exterior of the existing tool shed.,Beacon Hill,To Be Scheduled,0,35000,377000,Initiating in FY17,District 8,"Environment, Energy & Open Space"
-71.03738409,42.37278835,137,-71.03738351,42.37277967,136,367,461,1084,Boston Center for Youth and Families,CCC23498,Paris Street Community Center,BCYF Paris Street Community Center,1084,Interior facility repairs and renovations include upgrades of all mechanical systems and boilers; window and exterior and interior door replacements; athletic facility improvements and teledata upgrades; and new furniture and equipment.,East Boston,In Construction,-1,100000,10750000,Baseline Project,District 1,Health & Human Services
-71.03681447,42.37239294,138,-71.03681389,42.37238426,137,368,462,1085,Boston Center for Youth and Families,CCC24306,Paris Street Pool,BCYF Paris Street Pool,1085,"Complete building renovation including upgrades to mechanical systems, bathrooms and locker rooms, pool deck, improved lighting, and entryway. The project will strengthen the connection between the pool building and the adjacent park.",East Boston,In Design,-1,1650000,3750000,Near Baseline,District 1,Health & Human Services
-71.09112984,42.33191597,139,-71.09112924,42.33190731,138,383,481,1112,School Department,CPS24379,Madison Park Technical Vocational High School,Madison Park High School Welding Shop,1112,Upgrade school welding shop to accommodate classroom welding with adequate ventilation and safety equipment.,Roxbury,In Design,-1,1904000,2025000,Near Baseline,District 7,Education
-71.05313869,42.36550793,140,-71.05313811,42.36549925,139,388,491,1125,Parks and Recreation Department,CPR24512,Paul Revere Mall,Paul Revere Mall,1125,"Park improvements including site furnishings, pathways, landscaping, and utilities. Restoration work on the fountain and monument.",North End,New Project,0,250000,1900000,Initiating in FY17,District 1,"Environment, Energy & Open Space"
-71.06733358,42.38221104,141,-71.06733299,42.38220236,140,389,492,1126,Boston Center for Youth and Families,CCC23608,Clougherty Pool,BCYF Clougherty Pool,1126,"Upgrades to pool, deck, bath house, and mechanical systems.",Charlestown,To Be Scheduled,0,0,2700000,Starting after FY17,District 1,Health & Human Services
-71.06336199,42.33817712,142,-71.0633614,42.33816845,141,396,500,1134,Transportation Department,CTD23937,Tow Lot,BTD Tow Lot Facility,1134,Repairs and upgrades to building envelope and tow lot.,South Boston,In Design,-1,3400000,6000000,Near Baseline,District 2,Streets
-71.15122806,42.33487675,143,-71.15122745,42.33486809,142,398,502,1136,Parks and Recreation Department,CPR24305,Cassidy Field,Cassidy Field House,1136,"Renovation includes structural, MEP and envelope repairs as well as ADA access and bathroom and interior reconfiguration and upgrades.
",Allston/Brighton,To Be Scheduled,0,165000,1689358,Initiating in FY17,District 9,"Environment, Energy & Open Space"
-71.07082907,42.3267931,144,-71.07082848,42.32678443,143,401,508,1142,Inspectional Services Department,CIS24529,125 Magazine Street,Animal Shelter,1142,Building renovation to accommodate new site for an animal shelter.,Roxbury,Study Underway,0,42000,583000,Near Baseline,District 3,Operations
-71.04967971,42.35438573,145,-71.04967912,42.35437706,144,406,514,1148,Public Works Department,CPW21751,Old Northern Avenue Bridge,Old Northern Avenue Bridge,1148,Design and engineering services and ongoing repairs to the bridge.,South Boston,In Design,0,16000000,47432566,Near Baseline,District 2,Streets
-71.08243595,42.33110281,146,-71.08243536,42.33109414,145,438,551,1188,Property and Construction Management,CPM23836,Parking Lot,Parking Lot Improvement,1188,Expand Blair lot parking area in Dudley Square in support of the new Bruce C. Bolling Building.,Roxbury,In Design,0,0,1400000,Near Baseline,District 7,Operations
-71.05924232,42.36173058,147,-71.05924172,42.3617219,146,442,555,1192,Police Department,CPD23867,Area A-1 Station,Area A-1 and Area D-4 Stations,1192,Install new roofs at two police stations. Replace windows at Area A-1 Station and make foundation and terrace masonry repairs.,Government Center/Faneuil Hall,To Be Scheduled,0,125000,2500000,Initiating in FY17,District 2,Public Safety
-71.09906446,42.33247018,148,-71.09906386,42.33246151,147,444,557,1194,Library Department,CLD23016,Parker Hill Branch,Parker Hill Library,1194,"Exterior required maintenance to replace windows, repoint masonry walls, and repair stairs.  Minor interior improvements are also planned.",Mission Hill,In Design,-1,700000,2400000,Near Baseline,District 8,Arts and Culture
-71.13336528,42.26717594,149,-71.13336467,42.26716729,148,446,560,1198,Parks and Recreation Department,CPR23078,George Wright Golf Course,George Wright Golf Course,1198,"Ongoing improvements including drainage, paving, and other miscellaneous items.",Hyde Park,Annual Program,-1,200000,2372025,Near Baseline,District 5,"Environment, Energy & Open Space"
-71.05988423,42.36903096,150,-71.05988364,42.36902229,149,448,564,1206,Public Works Department,CPW22494,North Washington Street Bridge,North Washington Street Bridge,1206,Design rehabilitation of bridge. State and federal construction funds anticipated.,Charlestown,In Design,0,2079601,124467844,Near Baseline,District 1,Streets
-71.12057394,42.35197345,151,-71.12057333,42.35196478,150,456,573,1226,Property and Construction Management,CPM23947,Family Justice Center,Family Justice Center Elevator,1226,Upgrade elevator.,Allston/Brighton,To Be Scheduled,0,0,350500,Starting after FY17,District 9,Operations
-71.15205397,42.33473246,152,-71.15205335,42.33472379,151,458,578,1245,Parks and Recreation Department,CPR23884,Cassidy Park,Cassidy Field Master Plan Implementation,1245,"Comprehensive park renovation to include ballfields, courts, passive areas, pathways, utilities and landscaping.",Allston/Brighton,New Project,0,100000,4005030,Initiating in FY17,District 9,"Environment, Energy & Open Space"
-71.1626916,42.33882221,153,-71.16269097,42.33881355,152,459,581,1250,Parks and Recreation Department,CPR24331,Evergreen Cemetery,Evergreen Cemetery,1250,Pathway repair and repaving.,Allston/Brighton,New Project,-1,150000,150000,Initiating in FY17,District 9,"Environment, Energy & Open Space"
-71.15942525,42.34765933,154,-71.15942463,42.34765066,153,464,596,1266,Parks and Recreation Department,CPR23212,Roger's Park,Rogers Park,1266,Planning for future park improvements.,Allston/Brighton,In Design,0,25000,50000,Near Baseline,District 9,"Environment, Energy & Open Space"
-71.06244666,42.37255059,155,-71.06244607,42.37254191,154,467,613,1285,Parks and Recreation Department,CPR22436,John Harvard Mall,John Harvard Mall,1285,Renovate existing passive park and improve accessibility.,Charlestown,In Construction,-1,298476,1255000,Baseline Project,District 1,"Environment, Energy & Open Space"
-71.07138826,42.38644678,156,-71.07138766,42.3864381,155,471,620,1292,Parks and Recreation Department,CPR24234,Ryan Playground,Ryan Playground,1292,"Park improvements including play lot, courts, fields/ancillary structures, and infrastructure.",Charlestown,To Be Scheduled,0,0,2630000,Starting after FY17,District 1,"Environment, Energy & Open Space"
-71.06022236,42.37430904,157,-71.06022177,42.37430037,156,472,621,1293,Parks and Recreation Department,CPR21858,Winthrop Square,Winthrop Square III,1293,Landscape area and install new perimeter fencing.,Charlestown,In Construction,-1,187800,814630,Baseline Project,District 1,"Environment, Energy & Open Space"
-71.09605945,42.30218847,158,-71.09605885,42.30217981,157,474,630,1302,Parks and Recreation Department,CPR24132,Franklin Park,Franklin Park Master Plan Update,1302,Update the existing Master Plan to build out the Franklin Park Yard as a full administration and maintenance facility for the Boston Parks Department.,Roxbury,In Design,0,35000,75000,Initiating in FY17,District 7,"Environment, Energy & Open Space"
-71.05272542,42.30872716,159,-71.05272484,42.3087185,158,476,634,1306,Parks and Recreation Department,CPR24235,McConnell Park,McConnell Playground,1306,"Comprehensive park renovation to include play lot, three fields, passive park, parking lot and address access issues.
",Dorchester,To Be Scheduled,0,610000,3690000,Initiating in FY17,District 3,"Environment, Energy & Open Space"
-71.07353102,42.28584473,160,-71.07353043,42.28583607,159,477,636,1308,Parks and Recreation Department,CPR24011,Robert's Park,Roberts Playground,1308,"Playground renovation including water spray, play structure, fencing, safety surfacing, site furnishings and plantings.",Dorchester,In Design,-1,1440000,1540000,Near Baseline,District 4,"Environment, Energy & Open Space"
-71.06255906,42.30432988,161,-71.06255847,42.30432121,160,478,637,1309,Parks and Recreation Department,CPR24215,Ronan Park,Field Renovations at Ronan Park,1309,Renovate existing baseball field to improve drainage and playing surface.,Dorchester,To Be Scheduled,0,450000,500000,Initiating in FY17,District 3,"Environment, Energy & Open Space"
-71.06390151,42.35550359,162,-71.06390091,42.35549491,161,482,644,1316,Parks and Recreation Department,CPR24153,Boston Common,Boston Common Accessibility Study Shaw Memorial,1316,Study to explore options to improve accessibility between the Shaw Memorial and the rest of the Common.,Beacon Hill,To Be Scheduled,0,50000,50000,Initiating in FY17,District 8,"Environment, Energy & Open Space"
-71.08069238,42.33458971,163,-71.08069178,42.33458105,162,490,674,1449,Parks and Recreation Department,CPR24425,Ramsay Park,Ramsay Park,1449,"Park renovation including play lot, basketball courts, tennis courts, plazas, passive areas and lighting.",South End,New Project,0,339000,2020000,Initiating in FY17,District 7,"Environment, Energy & Open Space"
-71.05015977,42.32652629,164,-71.05015918,42.32651762,163,495,689,1464,Parks and Recreation Department,CPR24214,Joe Moakley Park,Field Renovations at Moakley Park,1464,Re-grade multi-use field and surrounding areas to improve drainage and playing surface.,South Boston,To Be Scheduled,0,450000,500000,Initiating in FY17,District 3,"Environment, Energy & Open Space"
-71.03236711,42.33768844,165,-71.03236653,42.33767977,164,496,693,1468,Parks and Recreation Department,CPR22955,Lee Playground (M Street),Court Renovations,1468,"Annual program to rehabilitate tennis, basketball, and street hockey courts citywide.",South Boston,Annual Program,-1,162500,6300000,Near Baseline,District 2,"Environment, Energy & Open Space"
-71.07060559,42.34045019,166,-71.070605,42.34044152,165,502,710,1490,Parks and Recreation Department,CPR22583,Monsignor Reynolds Way Park,Monsignor Reynolds Playground,1490,"Install new play lot equipment, safety surfacing, curbing, fencing, and benches.",South End,In Design,-1,295007,540000,Near Baseline,District 2,"Environment, Energy & Open Space"
-71.09475245,42.34640996,167,-71.09475185,42.34640129,166,511,737,1522,School Department,CPS24295,Boston Arts Academy,Boston Arts Academy,1522,Conduct a feasibility study and develop schematic design plans in conjunction with the Massachusetts School Building Authority that results in the construction or renovation of a facility that supports the requirements of the Boston Arts Academy.,Fenway/Kenmore,Study Underway,0,1550000,1700000,Near Baseline,District 8,Education
-71.05263115,42.37314515,168,-71.05263056,42.37313648,167,529,762,1547,Boston Redevelopment Authority,CBR21672,"Pier 4, CNY",CNY: Pier 4 Improvements,1547,Design and install pier infrastructure improvements at Pier 4 at the Charlestown Navy Yard. External marine facility construction funding anticipated.,Charlestown,In Design,-1,494892,2511000,Near Baseline,District 1,Economic Development
-71.03393779,42.36972546,169,-71.03393721,42.36971678,168,548,0,1202,School Department,CPS23855,McKay Early Education Center,Security Related Improvements at Various Schools,1202,"Install intercom and clock systems, re-key doors, expand card access, replace smoke doors, install motion detectors and other security related improvements.",East Boston,Annual Program,-1,45455,6500000,Initiating in FY17,District 1,Education
-71.0684599,42.37945619,170,-71.0684593,42.37944751,169,568,0,1288,Parks and Recreation Department,CPR24238,Edward Street Playground,Edwards Playground,1288,"Renovations to the playground including safety surfacing, passive park improvements including site furnishings upgraded utilities and pathways.",Charlestown,To Be Scheduled,0,0,703000,Starting after FY17,District 1,"Environment, Energy & Open Space"
-71.06153701,42.34830256,171,-71.06153642,42.34829389,170,571,0,1295,Parks and Recreation Department,CPR23794,Tai Tung Park,Tai Tung Park,1295,General park refurbishment and installation of new safety surfacing.,Chinatown,In Design,-1,96115,160000,Near Baseline,District 2,"Environment, Energy & Open Space"
-71.06176384,42.31156418,172,-71.06176326,42.31155551,171,576,0,1301,Parks and Recreation Department,CPR23796,Downer Avenue Playground,Downer Avenue Park,1301,"Overall park and play lot refurbishment including basketball court, pathways, playground, and possible water spray play feature.
",Dorchester,To Be Scheduled,0,200000,1150000,Initiating in FY17,District 3,"Environment, Energy & Open Space"
-71.04567156,42.2879368,173,-71.04567098,42.28792814,172,577,0,1303,Parks and Recreation Department,CPR24545,Garvey Playground,Garvey Playground,1303,"Park renovation including playlot, field improvements, lighting, pathways, and court upgrades.",Dorchester,New Project,0,350000,5000000,Initiating in FY17,District 3,"Environment, Energy & Open Space"
-71.05630231,42.29147244,174,-71.05630172,42.29146378,173,578,0,1304,Parks and Recreation Department,CPR23604,Hemenway Park,Hemenway Playground,1304,"Park renovation including drainage; fencing and wall repairs; and new landscaping, play structure and safety surfacing.",Dorchester,In Construction,-1,0,552500,Baseline Project,District 3,"Environment, Energy & Open Space"
-71.04942381,42.31086192,175,-71.04942322,42.31085325,174,580,0,1311,Parks and Recreation Department,CPR23862,Savin Hill Park,Savin Hill Park,1311,"Access and pathway improvements, seating area installation and improvements, grading and drainage restoration, fence installation and overlook creation.",Dorchester,In Construction,-1,0,265000,Baseline Project,District 3,"Environment, Energy & Open Space"
-71.07164714,42.35511775,176,-71.07164655,42.35510907,175,590,0,1326,Parks and Recreation Department,CPR23600,Public Garden,Public Garden Lagoon,1326,"Repair and backfill missing, destroyed, and leaking granite coping surrounding the lagoon.",Beacon Hill,In Design,0,0,1085428,Starting after FY17,District 8,"Environment, Energy & Open Space"
-71.05598039,42.36865163,177,-71.0559798,42.36864295,176,608,0,1403,Parks and Recreation Department,CPR24218,Langone Park,Langone Park and Puopolo Playground,1403,"Enhancement and improvements to playground, basketball court, baseball fields, softball field, bocce, lighting, drainage and plantings.",North End,To Be Scheduled,0,0,5460000,Starting after FY17,District 1,"Environment, Energy & Open Space"
-71.05462289,42.36841393,178,-71.0546223,42.36840526,177,610,0,1406,Parks and Recreation Department,CPR24218,Puopolo Park,Langone Park and Puopolo Playground,1406,"Enhancement and improvements to playground, basketball court, baseball fields, softball field, bocce, lighting, drainage and plantings.",North End,To Be Scheduled,0,0,5460000,Starting after FY17,District 1,"Environment, Energy & Open Space"
